# wabt-ts corpus output baseline
# files=421 totalBytes=1961204
# columns: file <tab> wasmBytes <tab> sha256-16(wasm) <tab> sha256-16(wasm2wat FOLDED) <tab> sha256-16(wasm2wat LINEAR)
18r_DynRuntimeDeepRecursion.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18s_GcFreeList.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18t_GcCellRegistry.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18u_GcMark.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18v_GcShadowStack.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18w_GcCollect.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18x_GcBoundedMemory.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18y_GcSplit.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18z_GcHybridAllocator.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18za_FnAnyPinTable.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zb_PrepassStringSafety.wat	1742	e5e473ea1e5e148e	5d227656b5b9020c	45b5b5a7a95cafae
18zc_DynRuntimeControlFlow.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zd_DynRuntimeLiterals.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18ze_DynRuntimeFunctionExprs.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zf_DynRuntimeMemberAssign.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zg_DynRuntimeOperators.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zh_DynRuntimeTryCatch.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zi_DynRuntimeBlockScope.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zj_DynRuntimePerIterationLet.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zk_VarGateSafe.wat	4310	c479585c0ad38d20	fb7b302cdd16d7ce	4c6622ff1084357a
18zn_DynRuntimeThisPrototype.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
18zo_DynRuntimeClasses.wat	489	91ea94691c955f23	f37398f6c20f5047	91fe2a34902bb680
